#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-35.9831241,  4.5260256, -18.0079575, -0.3687775, -0.7895146,  0.2694890, -0.4099336)    0    0   5.00000000  0 0.200   0.00000000
(-40.3351828, -6.5485204, -10.2318575,  0.4866501,  0.5859569, -0.3356742,  0.5542103)    0    0   5.00000000  0 0.200   0.00000000
(-35.9421559,  9.8869666, -11.5121774, -0.3053070, -0.2683817, -0.4969014,  0.7667124)    0    0   5.00000000  0 0.200   0.00000000
(-28.8518886, -0.3234716, -16.0128730, -0.6611023, -0.3363629,  0.6075481,  0.2840583)    0    0   5.00000000  0 0.200   0.00000000
(-36.2035942, -2.8567051, -7.7678537, -0.0578889, -0.5393621, -0.8184121, -0.1895760)    0    0   5.00000000  0 0.200   0.00000000
(-28.7790246,  2.9767280, -15.7343146,  0.1221268, -0.3192976,  0.9355990,  0.0882525)    0    0   5.00000000  0 0.200   0.00000000
(-27.3523365, -0.0764503, -15.6706185,  0.6399243, -0.4409563,  0.2882655,  0.5594260)    0    0   5.00000000  0 0.200   0.00000000
(-32.5690047,  7.2653021, -14.7909571,  0.4533740, -0.6709126, -0.1984625, -0.5522145)    0    0   5.00000000  0 0.200   0.00000000
(-40.7860739,  2.0558783, -17.2192075,  0.4951257,  0.3640369,  0.7036831,  0.3565920)    0    0   5.00000000  0 0.200   0.00000000
(-33.5631449,  6.9383254, -13.6800234, -0.4600290,  0.5528531, -0.6215423, -0.3105027)    0    0   5.00000000  0 0.200   0.00000000
(-34.0795086,  9.1373444, -6.7618783,  0.2101551, -0.7218234, -0.5908484, -0.2927524)    0    0   5.00000000  0 0.200   0.00000000
(-37.4255441, -1.3319876, -9.5466926, -0.5586494, -0.4896992,  0.6030647, -0.2905486)    0    0   5.00000000  0 0.200   0.00000000
(-27.9309913, -5.7786151, -9.6645945,  0.6888632,  0.4785141, -0.3092967, -0.4481375)    0    0   5.00000000  0 0.200   0.00000000
(-35.4119909,  9.0437170, -14.0945529,  0.0295297,  0.2094778,  0.6410779,  0.7377440)    0    0   5.00000000  0 0.200   0.00000000
(-31.5592307, -0.2994767, -15.5883267, -0.3025662, -0.2080323,  0.5823613, -0.7252803)    0    0   5.00000000  0 0.200   0.00000000
(-31.9170088, -4.2139395, -4.2104021, -0.1314819,  0.8645668, -0.4050605, -0.2667636)    0    0   5.00000000  0 0.200   0.00000000
(-37.1891504, -0.2871682, -9.6114178,  0.3556791,  0.5480520,  0.6484347,  0.3907222)    0    0   5.00000000  0 0.200   0.00000000
(-35.2331454,  5.5417229, -14.8391961,  0.0395101, -0.0368675,  0.1452240, -0.9879219)    0    0   5.00000000  0 0.200   0.00000000
(-29.8403399,  0.8154973, -19.0017624,  0.5307790,  0.2570356, -0.6840322, -0.4293091)    0    0   5.00000000  0 0.200   0.00000000
(-30.5531863,  0.9102751, -4.1262625, -0.1622854, -0.7457496,  0.1200609,  0.6349066)    0    0   5.00000000  0 0.200   0.00000000
(-35.6227174, -1.1242593, -4.3262724,  0.0405690,  0.1820452, -0.8976315,  0.3993388)    0    0   5.00000000  0 0.200   0.00000000
(-29.1039955,  1.3490645, -9.4308588, -0.3742953, -0.5319666,  0.6802044, -0.3379888)    0    0   5.00000000  0 0.200   0.00000000
(-39.6134251, -1.4810791, -10.0360726, -0.6450601, -0.1440281,  0.6996193, -0.2714520)    0    0   5.00000000  0 0.200   0.00000000
(-38.5738084,  9.3534216, -9.5570151, -0.4348783,  0.1702017, -0.6054346,  0.6444852)    0    0   5.00000000  0 0.200   0.00000000
(-36.6016385,  0.5549102, -6.9350118, -0.0072777,  0.0962900, -0.0126203, -0.9952467)    0    0   5.00000000  0 0.200   0.00000000
(-32.8979179,  7.6638675, -11.8833821, -0.5035580, -0.6233838,  0.1415257,  0.5811992)    0    0   5.00000000  0 0.200   0.00000000
