#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
( 9.5985777,  5.8197382, -28.3930061,  0.5650120,  0.2126900, -0.7324699, -0.3146621)    0    0  85.13069788  1 0.640  57.50151176
( 2.7586879,  0.0412120, -27.1785097,  0.8092582, -0.2077422,  0.1866979,  0.5168057)    0    0 130.56535630 14 0.000  87.05345545
( 3.4243119, -1.6574462, -34.3697583, -0.2494101,  0.6668297,  0.5971022, -0.3693317)    0    0  79.94247468  0 0.400  54.35369320
( 0.3128668,  0.4285035, -27.3986993,  0.7754496, -0.3903262,  0.1801870,  0.4624457)    0    0 133.12121055  0 5.000  88.74883220
(10.9486450, -4.1201898, -41.4529676, -0.8065098,  0.0169416,  0.5860758,  0.0759608)    0    0  55.65044281 10 4.120  35.74884596
( 2.3254996, -4.6153103, -31.1322828, -0.0147513, -0.2413131, -0.7666828,  0.5947670)    0    0 116.43801208  5 0.600  77.73640570
( 9.6339460,  5.7716810, -28.6422233,  0.5650120,  0.2126900, -0.7324699, -0.3146621)    0    0  84.96451631  7 0.480  56.76513156
( 2.6159649,  0.2683571, -27.1861431,  0.8092579, -0.2077459,  0.1866979,  0.5168049)    0    0 131.23566478  8 0.480  87.74555608
( 9.2060688, -4.0923915, -33.7140075,  0.1567818, -0.4121397, -0.7083129,  0.5512288)    0    0  77.65004713  0 0.480  55.00108376
( 3.8018249, -1.4018817, -34.6901229, -0.2550769,  0.6748454,  0.5902862, -0.3620521)    0    0  80.84026540  4 0.480  54.31247301
( 4.0768328,  4.3620590, -30.8762158, -0.2707699,  0.2359634,  0.5693806,  0.7394664)    0    0  83.89887212 11 0.240  55.32072674
( 5.7314734,  2.0091297, -34.4714650,  0.1467999,  0.9247029,  0.2477136, -0.2490228)    0    0  79.42371255  6 4.920  53.03015611
( 9.0108898, -3.5335363, -33.5595235,  0.1567818, -0.4121397, -0.7083129,  0.5512288)    0    0  75.70578103  0 0.480  48.23537272
(14.1710894,  3.8063510, -31.8201821,  0.2191305,  0.7827805, -0.5034876, -0.2928084)    0    0  75.71316623  2 5.000  50.44507893
( 9.5361452,  6.0101514, -28.7395912,  0.5650120,  0.2126900, -0.7324699, -0.3146621)    0    0  83.76208149  4 0.360  55.00275135
( 2.9598635, -0.0192960, -26.7726790,  0.8092582, -0.2077427,  0.1866979,  0.5168056)    0    0 130.11438868 15 0.000  87.14166411
(10.6115530, -4.0053096, -41.8469113, -0.8065098,  0.0169416,  0.5860758,  0.0759608)    0    0  56.55732075  8 2.360  37.90848163
