#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-11.8242526, 35.5684813, 6.4193885, 0.5266988, -0.0872234, -0.0724498, 0.8424557)    0    0   95.32797324  5 0.480 122.21381085
(-12.8630542, 34.5182607, 11.8646969, 0.6819680, -0.0562231, -0.2345871, 0.6904546)    0    0   78.30721739  9 0.240 98.13408436
(-19.2998907, 34.5449768, 8.0896405, 0.5519480, -0.1037189, -0.3642645, 0.7429046)    0    0   43.45434706  5 0.400 46.33971271
(-12.9792857, 34.4040775, 11.7662826, 0.6819668, -0.0562234, -0.2345857, 0.6904561)    0    0   76.13620430  6 0.240 96.16602258
(-18.4798086, 33.7848962, 8.1134649, 0.5519480, -0.1037190, -0.3642646, 0.7429045)    0    0   51.51550420  8 0.240 63.32946899
(-18.7540912, 34.5454216, 7.4603285, 0.5585649, -0.1015680, -0.3584662, 0.7410743)    0    0   47.36829576  1 0.720 61.50836848
(-28.7419724, 33.0060569, -1.5711562, 0.4307340, 0.2467565, 0.5834783, 0.6427538)    0    0   -74.76368405  4 0.480 -95.03464559
(-16.3926728, 34.2216240, -0.1242724, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   28.03084714  15 0.600 29.73182515
(-12.7218437, 34.5562210, 11.8618277, 0.6819674, -0.0562233, -0.2345864, 0.6904554)    0    0   78.82553282  5 0.720 98.97877006
(-7.4080791, 33.0203977, 1.5737520, 0.7730040, 0.0458745, 0.0510803, 0.6306751)    0    0   71.51480018  0 5.000 89.39350225
(-22.7173994, 38.5222579, 7.5515123, 0.4952243, -0.0056965, -0.1191279, 0.8605399)    0    0   37.87509570  9 0.120 46.38933440
(-13.1900587, 34.5318193, 10.7885583, 0.6819719, -0.0562221, -0.2345917, 0.6904492)    0    0   76.12676001  4 0.400 97.45232766
(-22.3799343, 38.4068265, 6.8775420, 0.4952219, -0.0056934, -0.1191201, 0.8605424)    0    0   44.54056750  3 1.360 60.09354655
(-16.6495769, 34.3498832, -0.1336287, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   26.66910796  4 0.640 34.78111273
(-19.1368530, 34.6219512, 7.8347979, 0.5519479, -0.1037187, -0.3642641, 0.7429049)    0    0   46.21490691  3 0.560 60.89458703
(-22.3612421, 29.1087200, 5.8814510, 0.8390159, -0.0964020, -0.1274167, 0.5201191)    0    0   3.38654790  2 5.000 4.44235649
(-19.3215734, 34.6481027, 8.0247227, 0.5519480, -0.1037189, -0.3642645, 0.7429046)    0    0   46.11670302  0 0.400 63.87937193
(-13.1577101, 34.5065118, 11.4477894, 0.6819666, -0.0562235, -0.2345855, 0.6904564)    0    0   79.22889900  1 1.120 99.92400463
(-13.2490294, 34.4520044, 11.6318190, 0.6819703, -0.0562225, -0.2345898, 0.6904514)    0    0   76.33543960  23 0.240 92.83077658
(-19.3853460, 34.8648214, 8.1832420, 0.5519479, -0.1037187, -0.3642641, 0.7429048)    0    0   44.50361406  10 0.320 56.81657850
(-28.7137638, 32.5303509, -1.5429709, 0.4307340, 0.2467565, 0.5834783, 0.6427538)    0    0   -54.48643161  0 5.000 -68.10772413
(-19.2226920, 34.8430800, 8.2754954, 0.5519479, -0.1037188, -0.3642643, 0.7429047)    0    0   44.13169619  0 0.640 48.97635026
(-16.4248652, 34.9990078, -0.1756193, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   30.88367594  8 0.240 41.47080858
(-18.8170599, 34.1659860, 7.8806105, 0.5519480, -0.1037190, -0.3642646, 0.7429045)    0    0   56.76886471  1 0.720 76.50185700
(-13.1950131, 34.4765560, 11.6808373, 0.6819833, -0.0562192, -0.2346051, 0.6904336)    0    0   75.50070388  10 0.080 98.72555309
(-19.6031729, 34.4596911, 8.7219827, 0.5519479, -0.1037187, -0.3642640, 0.7429049)    0    0   43.41677385  3 0.560 55.92420469
(-12.8211082, 34.7222191, 11.8961826, 0.6819689, -0.0562229, -0.2345881, 0.6904534)    0    0   78.18146547  11 0.080 98.74820011
(-18.9215212, 34.3430557, 8.0213871, 0.5519480, -0.1037190, -0.3642647, 0.7429045)    0    0   51.63986093  0 0.640 63.75324252
(-18.2989417, 34.4726511, 7.7054427, 0.5519480, -0.1037190, -0.3642647, 0.7429045)    0    0   54.06290445  9 0.160 68.10892320
(-11.7417728, 35.2693654, 6.2957123, 0.5266988, -0.0872234, -0.0724498, 0.8424557)    0    0   95.96810189  11 0.400 127.70327537
(-13.6418130, 34.7937472, 11.2338508, 0.6819899, -0.0562175, -0.2346129, 0.6904246)    0    0   71.27268725  3 0.560 90.65790211
(-21.9515846, 29.0120899, 5.8755100, 0.8390159, -0.0964020, -0.1274167, 0.5201191)    0    0   4.03457376  0 5.000 5.32830799
(-22.6393813, 38.5142753, 7.5007787, 0.4952235, -0.0056955, -0.1191253, 0.8605408)    0    0   42.40577893  6 0.400 56.32709665
(-13.7007493, 34.7589296, 10.8093317, 0.6819971, -0.0562157, -0.2346215, 0.6904147)    0    0   70.60675593  3 0.640 89.80000039
(-14.0010026, 34.6026291, 10.7258514, 0.6819923, -0.0562169, -0.2346158, 0.6904213)    0    0   68.47898407  8 0.880 86.82425944
(-12.0478278, 35.6820986, 6.4929703, 0.5266988, -0.0872234, -0.0724498, 0.8424557)    0    0   87.65362569  12 0.000 100.11932389
(-13.8857231, 34.4957413, 10.7700025, 0.6819927, -0.0562168, -0.2346162, 0.6904208)    0    0   69.55352203  8 0.800 89.09323733
(-16.5993646, 35.1270923, -0.2591271, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   31.83407150  5 3.120 44.29621762
(-11.5851722, 36.0738391, 6.7292610, 0.5266988, -0.0872234, -0.0724498, 0.8424557)    0    0   92.77182586  0 0.400 123.08332078
(-18.8109637, 34.1204283, 7.9889068, 0.5519480, -0.1037189, -0.3642645, 0.7429046)    0    0   49.41375370  7 0.320 64.36192136
(-16.7691192, 33.8213301, -0.0802453, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   27.88698554  2 0.560 38.27665900
(-16.7749012, 34.8434310, -0.3508257, 0.7125777, -0.0299411, -0.1356190, 0.6877093)    0    0   30.87332239  3 0.400 41.86901387
(-18.3730567, 34.4263777, 7.6848655, 0.5519480, -0.1037189, -0.3642645, 0.7429046)    0    0   54.35355020  6 0.400 71.58488483
(-19.2983264, 34.5519273, 8.2189830, 0.5519479, -0.1037187, -0.3642641, 0.7429049)    0    0   47.60815169  0 0.400 61.43594525
(-18.0043758, 34.3473420, 7.9101803, 0.5519480, -0.1037190, -0.3642646, 0.7429045)    0    0   54.92631258  3 0.400 72.50846703
