#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
( 1.4355262, -38.8086735, -16.0728393, -0.3939763,  0.8349775,  0.3086346, -0.2287792)    0    0  61.50630178  2 3.480  41.17524631
(-5.9016332, -27.1684598, -16.9646105, -0.0144525,  0.4431380, -0.7876244, -0.4278640)    0    0 101.41334497  3 0.560  67.88349020
( 7.3311124, -34.8558749, -20.0321038, -0.4780779, -0.1805108,  0.2089856,  0.8337760)    0    0  83.82622656  2 0.320  55.88437180
(-5.9805943, -27.7855110, -16.4640352, -0.0144600,  0.4431368, -0.7876272, -0.4278598)    0    0 102.31709491  7 0.320  68.22519004
(-5.8473876, -27.5335654, -16.6808549, -0.0144596,  0.4431368, -0.7876271, -0.4278601)    0    0 104.97771452  2 0.880  70.57793734
( 0.7947019, -37.7064355, -7.8553608, -0.8786289, -0.0197626, -0.2810215,  0.3855484)    0    0  66.89411849  4 3.240  44.99132169
(-5.6146459, -27.7854993, -16.2071374, -0.0144506,  0.4431384, -0.7876236, -0.4278652)    0    0 103.75758567 12 0.200  68.37074838
(-3.9802366, -33.3264800, -11.0665810, -0.3203659,  0.2644334,  0.1824435, -0.8911537)    0    0  60.38502596  8 0.480  40.60321371
(-0.1100674, -30.7513527, -16.7525413, -0.0684663, -0.8073207,  0.4819976, -0.3335027)    0    0  77.62229897  6 0.640  52.58884012
( 0.9707106, -38.0698349, -7.7022239, -0.8786289, -0.0197626, -0.2810215,  0.3855484)    0    0  66.09239383  8 4.040  45.26005884
( 0.9773102, -38.0784166, -7.7216607, -0.8786289, -0.0197626, -0.2810215,  0.3855484)    0    0  66.46379329  7 4.680  45.08282881
( 7.7214941, -34.5635083, -20.0821956, -0.4780839, -0.1806294,  0.2090804,  0.8337231)    0    0  83.38272061  0 0.400  55.72391390
(-2.1399696, -29.6763715, -11.0979749, -0.2103198,  0.4870834,  0.0795860,  0.8439084)    0    0  93.04283282  4 0.560  60.82327005
( 7.6340041, -34.5446054, -19.7722397, -0.4780829, -0.1805105,  0.2089706,  0.8337770)    0    0  84.01264320 11 0.000  56.49228291
( 7.2325477, -34.4329021, -19.6891653, -0.4780820, -0.1805113,  0.2089713,  0.8337771)    0    0  84.59230101  2 0.640  56.75173364
(-5.4680164, -27.7854170, -16.0646527, -0.0144012,  0.4431464, -0.7876049, -0.4278930)    0    0 103.31645457  9 0.640  67.43729718
(-6.0108442, -27.7424596, -16.4714395, -0.0144610,  0.4431366, -0.7876276, -0.4278593)    0    0 102.95957952  7 0.560  68.20824421
( 1.2866363, -38.5730975, -8.1825746, -0.8786289, -0.0197627, -0.2810215,  0.3855484)    0    0  63.77210733  9 2.600  43.10939849
(-4.3032292, -33.2046549, -10.9400237, -0.3203656,  0.2644338,  0.1824433, -0.8911538)    0    0  61.72189344  1 4.360  41.29819800
(-5.7727647, -27.6493532, -16.3712897, -0.0144449,  0.4431392, -0.7876215, -0.4278684)    0    0 103.17133628  0 0.400  69.54205428
(-5.7083518, -27.3873800, -16.2560761, -0.0144600,  0.4431368, -0.7876271, -0.4278600)    0    0 101.82983076  5 0.400  67.93536187
( 8.1477712, -34.6665046, -20.5686604, -0.4780770, -0.1805211,  0.2089963,  0.8337716)    0    0  83.21410980  2 0.560  55.18216731
(-4.9359221, -33.2236917, -10.5008854, -0.3203657,  0.2644336,  0.1824434, -0.8911538)    0    0  60.02413668  0 0.480  40.00340047
(-0.0803113, -30.8259805, -16.8952307, -0.0684663, -0.8073207,  0.4819976, -0.3335027)    0    0  77.68660579  5 5.000  52.02234630
( 7.1686235, -33.1910863, -12.3114735, -0.0241856,  0.5793387,  0.5035784, -0.6404607)    0    0  67.64641249 11 0.200  45.90354591
(-6.0127266, -27.7776751, -16.6147787, -0.0144596,  0.4431369, -0.7876270, -0.4278601)    0    0 103.66795394  0 0.480  68.81019527
( 7.1802945, -33.1981094, -12.3172387, -0.0241695,  0.5793431,  0.5035824, -0.6404542)    0    0  70.11569502  1 1.040  46.85653125
( 7.4237688, -34.4472211, -19.9848028, -0.4780818, -0.1805145,  0.2089766,  0.8337752)    0    0  84.75308537  1 1.120  56.81176439
( 7.2720002, -33.3090089, -12.4444427, -0.0241636,  0.5793297,  0.5035874, -0.6404626)    0    0  67.60235901  1 0.640  47.74965913
( 7.6181988, -33.6085014, -11.7438842, -0.0249087,  0.5795200,  0.5032861, -0.6404992)    0    0  71.96004636  0 1.880  48.25981482
( 6.9381932, -34.7500805, -19.3885538, -0.4780848, -0.1805035,  0.2089621,  0.8337795)    0    0  82.78371816  0 0.400  54.42807669
( 7.0357908, -34.3960767, -19.7919635, -0.4786979, -0.1835151,  0.1978645,  0.8353948)    0    0  77.33735873 27 0.000  55.49078341
( 9.0299192, -33.2455182, -9.7690265, -0.8915995,  0.2384828, -0.3849041, -0.0050204)    0    0  69.45939814  3 2.200  46.75091307
