#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-10.0999575, -2.4310756, -27.6288456, -0.5398556, -0.1507618, -0.0868264,  0.8235824)    0    0 109.42611739  9 0.080  72.79007551
(-10.1105734, -3.0424016, -27.5551774, -0.5398780, -0.1507722, -0.0867890,  0.8235698)    0    0 111.21449613  5 1.040  74.18525669
(-5.4889759,  9.2366645, -31.7713905,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  94.43525691  2 0.560  62.70920784
(-9.8710916, -2.6554626, -27.6720461, -0.5398492, -0.1507602, -0.0868336,  0.8235861)    0    0 108.13324766 28 0.000  71.29684887
(-10.0020045, -2.6082891, -27.7437090, -0.5398569, -0.1507603, -0.0868297,  0.8235814)    0    0 108.74190851 37 0.000  71.69075265
(-9.9964095, -2.5885816, -27.6212611, -0.5398768, -0.1507714, -0.0867915,  0.8235704)    0    0 110.45043905  5 0.640  73.07275288
(-11.3348628,  1.6551651, -33.7662788, -0.5192054, -0.3699982, -0.6249479, -0.4505187)    0    0  74.55809645 10 0.080  50.10982912
(-9.2350722,  4.8030508, -33.9530576, -0.8610096, -0.1087971,  0.4689674, -0.1639977)    0    0  88.43472821  4 5.000  59.04121368
(-6.7341479,  3.3954006, -28.7745314, -0.5177985, -0.1057925, -0.2949735,  0.7960330)    0    0  69.76334457  0 0.400  47.85166203
(-6.8301378,  2.8571881, -28.8619072, -0.5162255, -0.1062378, -0.2984344,  0.7957146)    0    0  70.88189769  7 0.400  47.11869271
(-5.6323090,  8.9526604, -31.5859192,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  92.52595603  0 0.400  61.09171917
(-11.6705490,  2.0069926, -33.4913107, -0.5267583, -0.3700624, -0.6181795, -0.4509290)    0    0  72.32209271  6 0.320  48.75673241
(-5.0858052,  8.9852673, -31.7430098,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  96.19166614  2 5.000  64.40503617
(-9.7651303, -2.5544778, -27.5097277, -0.5398546, -0.1507605, -0.0868303,  0.8235829)    0    0 108.32943932  7 0.240  72.00513806
(-6.7144017,  3.0315597, -28.8722912, -0.5162253, -0.1062379, -0.2984348,  0.7957145)    0    0  68.18640218  7 0.320  44.96467905
(-6.4515885,  2.8761817, -28.5994732, -0.5162247, -0.1062380, -0.2984361,  0.7957144)    0    0  72.19977055  1 2.880  48.01094950
(-11.5123109,  1.5343729, -33.8735463, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  74.21775725  4 0.400  50.36694542
(-11.7540650,  1.9655878, -33.5929005, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  75.41482852  1 1.280  50.58441985
(-15.6971648,  8.3713291, -33.5552895, -0.0249716, -0.8338422, -0.1724224,  0.5237883)    0    0  73.90896872  7 0.400  49.41258228
(-10.3643930, -3.1325585, -27.2133299, -0.5398433, -0.1507506, -0.0868614,  0.8235889)    0    0 110.65873172  1 0.560  73.72599258
(-11.7509291,  2.0838630, -33.9039496, -0.5199159, -0.3700072, -0.6243201, -0.4505608)    0    0  75.24421842  4 0.560  50.62823507
(-10.2969928, -2.5527246, -27.2459560, -0.5398298, -0.1507487, -0.0868726,  0.8235968)    0    0 108.32562816 11 0.000  72.50077696
(-9.8822328, -2.8064459, -27.5326673, -0.5398164, -0.1507401, -0.0869015,  0.8236042)    0    0 109.75633875  5 0.240  72.26603289
(-6.3749687,  2.9929878, -28.4565181, -0.5162266, -0.1062375, -0.2984319,  0.7957148)    0    0  67.73130230  6 0.080  48.22878636
(-11.9827074,  2.0600179, -33.6616887, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  73.12999517  0 0.560  47.58922358
(-15.5442600,  7.7386180, -34.1760384, -0.0249704, -0.8338430, -0.1724211,  0.5237874)    0    0  74.65926899  2 3.360  50.43137463
(-11.5736293,  2.0458833, -33.5687087, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  75.16692063  6 0.960  50.26034847
(-10.0565883, -2.4284166, -27.6726763, -0.5398678, -0.1507683, -0.0868038,  0.8235756)    0    0 109.41053459  0 0.400  72.47704660
(-16.0401338,  7.7909211, -33.8765910, -0.0249711, -0.8338425, -0.1724218,  0.5237879)    0    0  73.78205164  8 0.160  49.48172548
(-9.6050182,  4.7615674, -34.1342410, -0.8610127, -0.1088008,  0.4689593, -0.1640021)    0    0  88.14504641  5 1.800  59.82933563
(-11.4781943,  1.9975326, -33.6222392, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  74.80891869  3 0.560  50.09182464
(-10.3289182, -2.4759960, -27.3924413, -0.5398652, -0.1507670, -0.0868085,  0.8235771)    0    0 110.55997365  0 0.560  73.57428492
(-6.5852733,  2.7821900, -28.6922577, -0.5162279, -0.1062371, -0.2984291,  0.7957151)    0    0  70.25464867  8 0.160  46.80666705
(-10.3169828, -2.4922784, -27.6053416, -0.5398350, -0.1507415, -0.0868891,  0.8235930)    0    0 109.64171367  0 0.400  72.79662616
(-9.8874237, -2.7173525, -27.6386274, -0.5398259, -0.1507484, -0.0868752,  0.8235992)    0    0 104.18574313 10 0.000  71.84062669
(-10.3464110, -2.7531894, -27.4392143, -0.5397992, -0.1507268, -0.0869439,  0.8236134)    0    0 105.76146346  5 0.400  69.52528716
(-6.8717979,  3.0769381, -28.9451975, -0.5162249, -0.1062380, -0.2984356,  0.7957145)    0    0  69.38228725  9 0.160  45.50461725
(-6.0721260,  8.7865961, -31.9733171,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.03859671  3 0.560  62.91312608
(-15.5992536,  8.3067374, -33.8403656, -0.0249706, -0.8338429, -0.1724213,  0.5237875)    0    0  71.64070705  6 0.480  45.16578360
(-10.1703756, -2.9235399, -27.5757696, -0.5398480, -0.1507581, -0.0868397,  0.8235866)    0    0 109.37259859 19 0.000  72.89802834
(-5.3958912,  9.1416076, -31.8338529,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  93.26452664  7 0.240  61.76555088
(-10.2528087, -2.4391434, -27.1978609, -0.5398392, -0.1507504, -0.0868637,  0.8235913)    0    0 110.04801013  3 0.480  73.15557661
(-10.1939451, -2.7336348, -27.7932163, -0.5398079, -0.1507399, -0.0869058,  0.8236093)    0    0 109.00484091  0 0.480  71.80261784
(-9.4224096,  4.7240302, -33.9873856, -0.8610063, -0.1087932,  0.4689760, -0.1639931)    0    0  89.20100114  1 2.120  60.26152783
(-5.1406099,  8.9430655, -31.5233973,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  93.26684817  1 0.400  63.45589004
(-6.7340528,  2.9296373, -28.8134439, -0.5162261, -0.1062376, -0.2984331,  0.7957147)    0    0  70.56943274 10 0.960  45.57336145
(-10.0242738, -2.9984621, -27.3014222, -0.5398318, -0.1507467, -0.0868771,  0.8235954)    0    0 108.62128726  3 0.400  70.69887388
(-15.8485606,  7.9371687, -33.8467255, -0.0249703, -0.8338431, -0.1724210,  0.5237873)    0    0  76.28707792  0 3.600  50.88450293
(-10.0381552, -2.6431497, -27.3993396, -0.5398296, -0.1507474, -0.0868761,  0.8235968)    0    0 109.39714211  0 0.400  73.48430242
(-2.7710409,  3.1720231, -30.8849851, -0.6292030,  0.0368856,  0.5816683,  0.5142032)    0    0  91.36272427  8 2.280  61.75974079
(-15.9824695,  7.9694990, -33.8933538, -0.0249718, -0.8338420, -0.1724226,  0.5237884)    0    0  71.75609888 12 0.000  48.86664193
(-10.0859291, -2.6226891, -27.5654220, -0.5398794, -0.1507727, -0.0867869,  0.8235689)    0    0 111.93131522  0 5.000  74.62114231
(-9.6382983, -2.6860789, -27.8060745, -0.5398588, -0.1507596, -0.0868307,  0.8235802)    0    0 109.11670193 22 0.000  73.18009008
(-9.6010939, -2.4992223, -27.8623488, -0.5398162, -0.1507400, -0.0869016,  0.8236043)    0    0 110.18332800  8 0.160  73.96790543
(-5.2441074,  8.9192072, -32.1348244,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  92.79217717  0 0.560  61.54168326
(-9.7489562, -2.6349906, -27.7696760, -0.5398795, -0.1507727, -0.0867869,  0.8235689)    0    0 111.56796812  1 4.080  74.74488984
(-15.8165264,  8.0883075, -33.8297393, -0.0249716, -0.8338422, -0.1724223,  0.5237883)    0    0  73.75266545  3 0.560  49.28854163
(-7.0993359,  3.1423805, -29.0980596, -0.5162248, -0.1062380, -0.2984359,  0.7957144)    0    0  71.63704424  2 1.720  47.90009648
(-6.7310454,  3.1447373, -28.8699715, -0.5827715, -0.0833206, -0.1288577,  0.7980167)    0    0  36.88500044  0 0.400  14.73223182
(-5.0986681,  8.6447894, -31.8104166,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  93.27778693 17 0.000  62.06220783
(-5.5403351,  9.0629203, -31.8104797,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.15774639  3 0.640  61.95509777
(-11.6330342,  1.8531088, -33.8017269, -0.5192054, -0.3699982, -0.6249479, -0.4505187)    0    0  73.73762289  7 0.320  48.36625192
(-5.0134055,  8.9801948, -31.7297962,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  95.57903343  3 3.120  64.00194615
(-15.8383514,  7.9656402, -33.8278043, -0.0249705, -0.8338430, -0.1724212,  0.5237875)    0    0  74.24854113  5 3.600  48.92869327
(-11.5741549,  1.6287295, -34.0353464, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  75.34343707  2 2.080  50.34453860
(-9.7744194,  4.7839361, -34.2582003, -0.8610125, -0.1088005,  0.4689599, -0.1640018)    0    0  86.92898893  6 4.520  56.40920760
(-11.3804670,  1.9039989, -33.5814729, -0.5780624, -0.3695932, -0.5695036, -0.4526703)    0    0  64.61879330  0 0.480  50.37402232
(-9.8422951, -2.8176355, -27.6568048, -0.5398394, -0.1507543, -0.0868536,  0.8235915)    0    0 109.40552860 17 0.000  73.35831810
(-9.6566969, -2.2603850, -27.8942941, -0.5398698, -0.1507688, -0.0868017,  0.8235744)    0    0 109.27373879  6 0.320  72.83130518
(-10.1854108, -2.6190576, -27.5051219, -0.5398794, -0.1507727, -0.0867869,  0.8235689)    0    0 111.33631160  3 5.000  73.96658655
(-15.8067695,  8.0625653, -33.7000984, -0.0249718, -0.8338420, -0.1724226,  0.5237884)    0    0  72.05502923 17 0.000  47.47858808
(-11.2460668,  1.8096545, -33.6681701, -0.5274712, -0.3700714, -0.6175494, -0.4509712)    0    0  70.29205832 14 0.000  48.16077827
(-10.1531698, -2.8123318, -27.7200768, -0.5398166, -0.1507375, -0.0869080,  0.8236038)    0    0 109.05631138 19 0.000  72.66613989
(-5.8151438,  9.0156683, -31.8104388,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.69763038  7 0.240  63.28072244
(-6.8640229,  3.0171903, -28.9008282, -0.5162284, -0.1062370, -0.2984281,  0.7957152)    0    0  71.10332479  5 0.480  47.36651969
(-6.9158273,  2.9003847, -28.9814215, -0.5162260, -0.1062377, -0.2984332,  0.7957147)    0    0  69.41446950  7 0.400  45.31738747
(-11.6651020,  1.6735874, -33.9953654, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  71.56482375 20 0.000  48.73030655
(-15.8398138,  7.8608934, -33.6405291, -0.0249732, -0.8338410, -0.1724240,  0.5237895)    0    0  73.05586704  0 0.400  48.83506683
(-9.9171369, -2.8393885, -27.3946630, -0.5398583, -0.1507637, -0.0868203,  0.8235809)    0    0 108.35702808  3 0.560  71.87706302
(-6.7845140,  2.9932995, -28.8373367, -0.5162247, -0.1062380, -0.2984361,  0.7957144)    0    0  73.30250277  0 2.960  48.97378289
(-15.6469345,  8.3790007, -33.7767862, -0.0249704, -0.8338431, -0.1724211,  0.5237874)    0    0  73.91061457  5 0.400  49.73483790
(-5.4344384,  8.8013931, -31.8346097,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.03351464  0 0.400  62.52475389
(-2.7807481,  3.1216913, -30.8084355, -0.6292216,  0.0368851,  0.5816547,  0.5141960)    0    0  91.39352052  6 0.360  61.89660843
(-10.1575992, -2.2704695, -27.3844892, -0.5398577, -0.1507628, -0.0868229,  0.8235812)    0    0 109.74990777  3 0.320  74.13704630
(-5.1876083,  9.1282672, -31.9476018,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  93.48639416  0 0.400  62.53663586
(-3.1236249,  3.5870123, -30.5831997, -0.6292043,  0.0368855,  0.5816669,  0.5142033)    0    0  93.89779819  0 2.760  62.64310082
(-5.7778842,  9.1749447, -31.8619965,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  94.56176735  0 0.400  63.47201759
(-11.4072913,  2.2074683, -33.5843367, -0.5190864, -0.3699966, -0.6250529, -0.4505116)    0    0  73.98146692 10 0.000  49.92490791
(-15.9184941,  8.3775358, -33.9677166, -0.0249709, -0.8338427, -0.1724216,  0.5237877)    0    0  72.92098474  6 0.240  48.49387002
(-16.0266174,  7.7537847, -33.8024208, -0.0249715, -0.8338423, -0.1724222,  0.5237882)    0    0  72.93508777  0 0.400  49.13583053
(-10.6108462, -2.9488122, -27.4759732, -0.5398347, -0.1507522, -0.0868613,  0.8235942)    0    0 107.16526406  5 0.320  69.23487468
(-10.3912201, -2.6550738, -27.1889566, -0.5398369, -0.1507542, -0.0868550,  0.8235930)    0    0 109.38436481 21 0.000  73.79553559
(-9.9662639, -2.5186366, -27.6443883, -0.5398639, -0.1507656, -0.0868127,  0.8235777)    0    0 110.21462968  8 0.160  73.93980156
(-11.3181985,  1.9509250, -34.1781528, -0.5203880, -0.3700128, -0.6239018, -0.4505883)    0    0  74.26082140  0 0.640  49.68322985
(-15.7069933,  8.1545978, -33.8372713, -0.0249711, -0.8338426, -0.1724217,  0.5237879)    0    0  73.64690897  6 0.320  49.34235051
(-15.8435341,  7.5889612, -33.7053897, -0.0249715, -0.8338423, -0.1724222,  0.5237882)    0    0  73.15274152 10 0.000  49.47436483
(-9.8939292,  4.9606126, -34.5048246, -0.8610108, -0.1087986,  0.4689641, -0.1639995)    0    0  88.78766670  3 0.760  59.79807801
(-10.0467022, -2.4723641, -27.5714551, -0.5398554, -0.1507613, -0.0868279,  0.8235825)    0    0 109.47649106 10 0.000  73.26187614
(-5.3377114,  8.7950572, -31.7610819,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  93.62806754  0 0.400  61.80429514
(-10.0496195, -2.6050818, -27.5970738, -0.5398666, -0.1507626, -0.0868193,  0.8235758)    0    0 111.28459557  2 0.960  74.29756202
(-5.4712543,  8.8619931, -31.8420449,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  94.35337021  0 0.400  63.44447241
(-5.5900831,  8.9636615, -31.6250429,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  92.95902217  0 0.400  61.23060786
(-11.6793702,  2.0620557, -33.4910219, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  73.94602015  0 0.400  49.02091350
(-9.7266779,  4.8312843, -34.2763976, -0.8610141, -0.1088024,  0.4689558, -0.1640041)    0    0  86.82296731  7 3.480  56.40988505
(-6.5252136,  2.9526409, -28.7984584, -0.5162257, -0.1062377, -0.2984339,  0.7957146)    0    0  70.99623341  5 0.800  47.52168609
(-11.5773235,  1.7676027, -33.8249613, -0.5189673, -0.3699950, -0.6251579, -0.4505045)    0    0  74.70369980  0 0.400  50.90026577
(-9.9052196, -3.2535988, -27.5835048, -0.5398418, -0.1507534, -0.0868547,  0.8235900)    0    0 109.05106216  1 0.480  71.63849519
(-5.4618071,  8.8561375, -31.7890535,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.31793675  6 0.240  62.65747666
(-11.2496416,  2.3862665, -33.6658780, -0.8666250, -0.3006843, -0.0980967, -0.3859107)    0    0  75.27885268 11 2.240  50.09723621
(-5.4205705,  8.7915630, -31.8152829,  0.9900316, -0.0029266,  0.0786633, -0.1167944)    0    0  94.75352777  5 0.400  63.60374969
(-5.9045791,  8.9734443, -31.8719367,  0.9900316, -0.0029266,  0.0786633, -0.1167945)    0    0  93.74866548  0 0.400  62.44928406
(-3.5822851,  3.3713022, -30.5236819, -0.6292038,  0.0368855,  0.5816673,  0.5142034)    0    0  92.82463037  3 3.960  61.54563504
(-10.0547192, -2.8738645, -27.3723347, -0.5398614, -0.1507646, -0.0868166,  0.8235791)    0    0 108.58349915 19 0.000  71.38604065
(-6.8887118,  3.3205159, -28.7460191, -0.5162767, -0.1062234, -0.2983223,  0.7957253)    0    0  70.08023115 10 0.080  46.44643658
(-2.9851082,  3.2530635, -30.4374919, -0.6292040,  0.0368855,  0.5816672,  0.5142033)    0    0  91.72146320  3 0.520  61.36709965
